company,status,zip,reason,birth,death,jurisdiction,jurisdictionType,lat,lng
CHARLES ENGELHARDINC.,ACTIVE,10007,NA,09/15/1921,NA,NEW JERSEY,domestic,40.7107327,-74.0109679
PRADO MOTORS CORPORATION,ACTIVE,10010,NA,09/23/1921,NA,DELAWARE,domestic,40.7420207,-73.98992799999999
PARDEE STEEL CORPORATION,ACTIVE,10016,NA,09/27/1921,NA,DELAWARE,domestic,40.7515379,-73.98102999999999
AMERICAN INVESTING & FUNDING CORPORATION,ACTIVE,10005,NA,09/30/1921,NA,DELAWARE,domestic,40.7065524,-74.0101174
THE DRINKWATER COMPANY,ACTIVE,10005,NA,10/01/1921,NA,DELAWARE,domestic,40.706708,-74.0089239
THE TIMES BOOK COMPANY LIMITED,ACTIVE,10007,NA,10/04/1921,NA,GABON,international,40.7107327,-74.0109679
FLETCHER HARDWARE CO. LIMITED,ACTIVE,10003,NA,10/05/1921,NA,,domestic,40.7343725,-73.98987580000001
THE MOTORS MORTGAGE CORPORATION,ACTIVE,10023,NA,10/05/1921,NA,DELAWARE,domestic,40.7681092,-73.98188859999999
L. P. C. CHEMICAL CORPORATION,ACTIVE,10022,NA,10/07/1921,NA,DELAWARE,domestic,40.7579762,-73.9621701
EXCEPTIONAL PICTURE CORPORATION,ACTIVE,10036,NA,10/08/1921,NA,DELAWARE,domestic,40.7581829,-73.9851647
NATIONAL MAP COMPANY,ACTIVE,10038,NA,10/08/1921,NA,INDIANA,domestic,40.7109872,-74.00685700000001
SANTA CECILIA SUGAR CORPORATION,ACTIVE,10004,NA,10/08/1921,NA,DELAWARE,domestic,40.7027972,-74.0129541
HANSA COMPANY,ACTIVE,10007,NA,09/23/1921,NA,NEW JERSEY,domestic,40.7107327,-74.0109679
GOORMAN & MANN GARMENT COMPANY,ACTIVE,10001,NA,10/31/1921,NA,MISSOURI,domestic,40.7481711,-73.9862593
SUGAR EXPORT CORPORATION,INACTIVE,10011,TERMINATION,10/17/1921,05/16/2001,DELAWARE,domestic,40.7409573,-74.0021187
COUNTY UNIT PUBLISHING COMPANY,ACTIVE,10006,NA,10/19/1921,NA,DELAWARE,domestic,40.709329,-74.0131196
SANTONI & COMPANY INC.,ACTIVE,10006,NA,10/19/1921,NA,,domestic,40.7086114,-74.0151386
LAMP SALVAGE CORPORATION OF AMERICA,ACTIVE,10031,NA,10/20/1921,NA,DELAWARE,domestic,40.8255471,-73.9478341
MUTUAL BROKERAGE CORPORATION,ACTIVE,10036,NA,10/20/1921,NA,DELAWARE,domestic,40.7544368,-73.9821542
INTERNATIONAL TAG & SALESBOOK CO.,ACTIVE,10016,NA,10/21/1921,NA,NEW JERSEY,domestic,40.7465856,-73.9855826
AMALGAMATED PHOTOGRAPHIC MANUFACTURERS LIMITED,ACTIVE,10016,NA,10/22/1921,NA,,domestic,40.74279,-73.983412
CO-OP ELECTRIC SUPPLY CO.,ACTIVE,10012,NA,10/11/1921,NA,ILLINOIS,domestic,40.7235913,-73.9991198
UNITED STATES & CHINA STEAMSHIP CO. INC.,ACTIVE,10038,NA,10/22/1921,NA,DELAWARE,domestic,40.7117044,-74.006394
R. WILLIAMSON & CO.,ACTIVE,10173,NA,10/22/1921,NA,ILLINOIS,domestic,40.7536987,-73.9789417
F. B WARREN CORPORATION,ACTIVE,10036,NA,10/24/1921,NA,DELAWARE,domestic,40.7581421,-73.9850597
COHN RISSMAN & CO.,ACTIVE,10010,NA,10/11/1921,NA,ILLINOIS,domestic,40.7434579,-73.98866799999999
THE PARAMOUNT PRODUCTS CO.,ACTIVE,10006,NA,03/29/1921,NA,NEW JERSEY,domestic,40.7080331,-74.0130887
THIEN-HAAR INC.,ACTIVE,10038,NA,10/27/1921,NA,DELAWARE,domestic,40.7124734,-74.0026742
LAMBERT HOISTING ENGINE COMPANY,ACTIVE,10007,NA,10/11/1921,NA,NEW JERSEY,domestic,40.7107327,-74.0109679
THE YAMATOYA COMPANY,ACTIVE,10017,NA,10/11/1921,NA,PENNSYLVANIA,domestic,40.7559176,-73.97908600000001
JONDEE ELECTRIC COMPANY,ACTIVE,10005,NA,10/14/1921,NA,DELAWARE,domestic,40.7065524,-74.0101174
ROBERT H. LAVERIE INC.,ACTIVE,10004,NA,10/14/1921,NA,DELAWARE,domestic,40.7029185,-74.0139109
SAMPSON-MARTIN CORPORATION,ACTIVE,10036,NA,11/02/1921,NA,DELAWARE,domestic,40.7602619,-73.9932872
THE AMERICAN NATIONAL INSURING CO.,ACTIVE,10036,NA,11/04/1921,NA,DELAWARE,domestic,40.7547152,-73.9804092
PARAMOUNT RUBBER CONSOLIDATED INC.,ACTIVE,10001,NA,11/07/1921,NA,DELAWARE,domestic,40.75368539999999,-73.9991637
JOHNSON-PETER COMPANY,ACTIVE,11231,NA,10/31/1921,NA,PENNSYLVANIA,domestic,40.6772802,-74.0094471
PNEUMATIC ASH REMOVAL COMPANY INC.,ACTIVE,11242,NA,11/15/1921,NA,DELAWARE,domestic,40.6932942,-73.9908107
MYKRONA NAVIGATION CORPORATION,ACTIVE,10005,NA,11/16/1921,NA,DELAWARE,domestic,40.7072492,-74.0094419
SHIP OWNERS RADIO SERVICE INC.,ACTIVE,10006,NA,11/16/1921,NA,WASHINGTON,domestic,40.731825,-74.000036
WEISZ SANDOR INC.,ACTIVE,10001,NA,11/17/1921,NA,DELAWARE,domestic,40.7438945,-73.9881104
WILLARD DOWLING CORPORATION,ACTIVE,10036,NA,11/18/1921,NA,,domestic,40.7540608,-73.9822844
THE JEFFERSON SHORTENING COMPANY OF NEW YORK INC.,ACTIVE,10006,NA,11/22/1921,NA,DELAWARE,domestic,40.7099815,-74.0144728
ALGEMEENE NORIT MAATSCHAPPY,ACTIVE,10036,NA,11/25/1921,NA,NETHERLANDS ANTILLES,international,40.7549127,-73.98168840000001
CAMSAW INC.,INACTIVE,10019,SURRENDER OF AUTHORITY,11/01/1921,01/24/2006,DELAWARE,domestic,40.7620794,-73.9784201
OLYMPIC DISC RECORD CORPORATION,ACTIVE,10019,NA,11/02/1921,NA,MARYLAND,domestic,40.7624034,-73.9834429
PRICE FOOD PRODUCTS CORPORATION,ACTIVE,10016,NA,12/01/1921,NA,DELAWARE,domestic,40.7519849,-73.9808883
ALEXANDER LUMBER CO.,ACTIVE,10007,NA,12/02/1921,NA,ILLINOIS,domestic,40.7136487,-74.0087126
BARNES FOUNDRY COMPANY,ACTIVE,10019,NA,12/02/1921,NA,NEW JERSEY,domestic,40.7675041,-73.9840741
AKTSIA SELTS TRANSATLANTIK INC.,ACTIVE,10038,NA,12/05/1921,NA,ESTONIA,international,40.7113616,-74.00784519999999
NIPOLA PRODUCTS COMPANY INC.,ACTIVE,10038,NA,12/05/1921,NA,NEW JERSEY,domestic,40.7113616,-74.00784519999999
THE BAKER STEAM MOTOR CAR AND MANUFACTURING COMPANY,ACTIVE,10017,NA,12/07/1921,NA,ARIZONA,domestic,40.7546492,-73.97832679999999
H. S. HALL & CO. INC.,ACTIVE,10003,NA,11/28/1921,NA,NEW JERSEY,domestic,40.736168,-73.98921399999999
CONTINENTAL RUBBER WORKS,ACTIVE,10175,NA,12/09/1921,NA,PENNSYLVANIA,domestic,40.7542123,-73.9800242
ORMONT REALTY CO. INC.,ACTIVE,10013,NA,12/19/1921,NA,DELAWARE,domestic,40.7206536,-74.0029962
TRIUMPH TOWING & TRANSPORTATION CORPORATION,ACTIVE,10005,NA,12/10/1921,NA,DELAWARE,domestic,40.7052235,-74.0087736
WILLIAM S. WHITING COMPANY,ACTIVE,11232,NA,12/12/1921,NA,DELAWARE,domestic,40.6532382,-74.014761
COLUMBUS MARINE CORPORATION,ACTIVE,10004,NA,12/16/1921,NA,DELAWARE,domestic,40.7051613,-74.0159706
BIDDLE-CRANE MOTOR CAR CO.,ACTIVE,10037,NA,12/19/1921,NA,DELAWARE,domestic,40.8172027,-73.9344631
NATIONAL REAL ESTATE BOND CORPORATION,ACTIVE,10036,NA,11/29/1921,NA,DELAWARE,domestic,40.5948549,-73.985571
ARIEL GOLF BALL COMPANY INC.,ACTIVE,10036,NA,12/19/1921,NA,DELAWARE,domestic,40.7578679,-73.9806754
PETROLEUM BANKERS CORPORATION,ACTIVE,10036,NA,11/30/1921,NA,DELAWARE,domestic,40.7549127,-73.98168840000001
THE ARROW ELECTRIC COMPANY,ACTIVE,10017,NA,12/22/1921,NA,CONNECTICUT,domestic,40.7546492,-73.97832679999999
BURNALL CORPORATION,ACTIVE,10038,NA,12/22/1921,NA,DELAWARE,domestic,40.7112942,-74.0062184
PROGRESSIVE CLAY CO.,ACTIVE,10001,NA,12/22/1921,NA,DELAWARE,domestic,40.7495102,-73.9870698
UNION MACHINERY COMPANY,ACTIVE,10005,NA,12/22/1921,NA,ILLINOIS,domestic,40.7056479,-74.0094446
ARTHUR-BOYNTON CORPORATION,ACTIVE,10028,NA,12/20/1921,NA,DELAWARE,domestic,40.7772582,-73.9617909
ANDREWS CRANE CORPORATION,ACTIVE,10004,NA,12/24/1921,NA,DELAWARE,domestic,40.7051613,-74.0159706
REPUBLIC PHOTOGRAPHIC CORPORATION,ACTIVE,10007,NA,12/20/1921,NA,MISSOURI,domestic,40.7139317,-74.0067728
SEABOARD SHIPPING CORPORATION,ACTIVE,10004,NA,12/27/1921,NA,DELAWARE,domestic,40.7027373,-74.0114286
WHALEN-CROSBY ELECTRIC COMPANY,ACTIVE,11205,NA,12/28/1921,NA,PENNSYLVANIA,domestic,40.6934038,-73.9642291
THE CRUSADER FILMS CORPORATION OF AMERICA,ACTIVE,10036,NA,12/29/1921,NA,DELAWARE,domestic,40.7549127,-73.98168840000001
ROTARY KING SAFETY RAZOR CO.,ACTIVE,10010,NA,12/31/1921,NA,DELAWARE,domestic,40.743786,-73.9893613
S. L. GOLDMAN COMPANY,ACTIVE,10037,NA,01/20/1922,NA,NEW JERSEY,domestic,40.8125542,-73.9378218
THE RUBBER SHOCK INSULATOR COMPANY INC.,ACTIVE,10023,NA,01/06/1922,NA,DELAWARE,domestic,40.7745034,-73.9876501
ST. MAURICE SALES COMPANY LIMITED,ACTIVE,10279,NA,01/06/1922,NA,,domestic,40.71248629999999,-74.00826579999999
JEAN DUPLICATOR PRODUCTS CORPORATION,ACTIVE,10038,NA,01/09/1922,NA,DELAWARE,domestic,40.7108523,-74.0069895
KENMA CORPORATION,ACTIVE,10005,NA,01/09/1922,NA,DELAWARE,domestic,40.7069772,-74.0095219
POTASH-MARL INC.,ACTIVE,10016,NA,01/09/1922,NA,NEW JERSEY,domestic,40.751916,-73.98058999999999
OTTO SILVERMAN INC.,ACTIVE,10038,NA,01/12/1922,NA,NEW JERSEY,domestic,40.7069039,-74.0078858
KATTERMAN & MITCHELL COMPANY,ACTIVE,10016,NA,01/03/1922,NA,NEW JERSEY,domestic,40.7469635,-73.9838443
LENNOX KNITTING MILLS,ACTIVE,10001,NA,01/14/1922,NA,PENNSYLVANIA,domestic,40.7472544,-73.98838769999999
J. FRANK DARLING SALES CO. INC.,ACTIVE,10001,NA,01/17/1922,NA,DELAWARE,domestic,40.7438945,-73.9881104
THE SUSQUEMAC DISTILLING CO. INC.,ACTIVE,10023,NA,01/18/1922,NA,OHIO,domestic,40.76859839999999,-73.9822121
THE ROSSENDALE REDDAWAY BELTING & HOSE COMPANY,ACTIVE,10279,NA,01/18/1922,NA,NEW JERSEY,domestic,40.71248629999999,-74.00826579999999
KNICKERBOCKER PHOTOPLAY CORPORATION,ACTIVE,10018,NA,01/03/1922,NA,DELAWARE,domestic,40.7537495,-73.98996029999999
SNOWS CANDY CORPORATION,ACTIVE,10011,NA,01/03/1922,NA,DELAWARE,domestic,40.73531759999999,-73.99416769999999
ABE KOLSKY & COMPANY,ACTIVE,10001,NA,01/20/1922,NA,PENNSYLVANIA,domestic,40.74876,-73.9903439
GARCIA SUGARS CORPORATION,ACTIVE,10005,NA,01/25/1922,NA,DELAWARE,domestic,40.7052078,-74.0074245
UNITED STATES HOFFMAN MACHINERY CORPORATION,ACTIVE,10003,NA,01/26/1922,NA,DELAWARE,domestic,40.7324539,-73.9900838
EDWIN M. BOSWORTH & COMPANY INC.,ACTIVE,10005,NA,02/01/1922,NA,DELAWARE,domestic,40.6998433,-74.0072436
SOCIETE ANONYME DES USINES FILS DE ACHILLE HIRSCH ET CIE,ACTIVE,10038,NA,02/02/1922,NA,,domestic,40.7087867,-74.0086996
THE OILDOM PUBLISHING COMPANY,ACTIVE,10279,NA,02/03/1922,NA,NEW JERSEY,domestic,40.71248629999999,-74.00826579999999
SYLVADE SILK MILLS,ACTIVE,10016,NA,02/04/1922,NA,NEW JERSEY,domestic,40.743799,-73.984605
CHARLES R. HEDDEN COMPANY,ACTIVE,10036,NA,02/07/1922,NA,NEW JERSEY,domestic,40.754181,-73.9846436
SAINT-GOBAIN ABRASIVES INC.,ACTIVE,10011,NA,02/07/1922,NA,MASSACHUSETTS,domestic,40.7409573,-74.0021187
THE STRITE MACHINE COMPANY,ACTIVE,10006,NA,02/07/1922,NA,CONNECTICUT,domestic,40.7091825,-74.0105449
MORTON GREENVILLE CO.,ACTIVE,10014,NA,01/20/1922,NA,DELAWARE,domestic,40.730613,-74.00560200000001
BARNES DISTRIBUTING CORPORATION,ACTIVE,10010,NA,01/21/1922,NA,DELAWARE,domestic,40.7427995,-73.99289259999999
STOKES AND PARRISH ELEVATOR COMPANY,ACTIVE,10006,NA,02/02/1893,NA,PENNSYLVANIA,domestic,40.7131603,-74.01336529999999
THE BUCKEYE ELECTRIC COMPANY,ACTIVE,10007,NA,02/02/1893,NA,OHIO,domestic,40.7110389,-74.0089988
VERMONT SHADE ROLLER COMPANY,ACTIVE,10038,NA,02/01/1893,NA,VERMONT,domestic,40.71003,-74.0079373
THE DRAMATIC NEWS PUBLISHING COMPANY,ACTIVE,10001,NA,02/04/1893,NA,NEW JERSEY,domestic,40.7466949,-73.9884884
THE OSBORNE STABLE COMPANY,ACTIVE,10007,NA,02/04/1893,NA,NEW JERSEY,domestic,40.71477300000001,-74.00491000000001
THE CUNARD STEAMSHIP COMPANY LIMITED,INACTIVE,10271,SURRENDER OF AUTHORITY,02/04/1893,11/01/1984,,domestic,40.7082118,-74.01065899999999
HILL MILLING COMPANY,ACTIVE,10038,NA,02/07/1893,NA,NEW JERSEY,domestic,40.7117044,-74.006394
WACHUSETT SHIRT COMPANY,ACTIVE,10013,NA,02/07/1893,NA,MASSACHUSETTS,domestic,40.7197629,-74.00503580000002
LITHOGRAPHISCHE-ARTISTICHE ANSTALT MUNCHEN,ACTIVE,10007,NA,02/07/1893,NA,GERMANY,international,40.7153459,-74.006413
LA BELLE STEEL COMPANY,ACTIVE,10006,NA,02/01/1893,NA,PENNSYLVANIA,domestic,40.709329,-74.0131196
THE NEW YORK STATIONERY AND ADVERTISING COMPANY,ACTIVE,10007,NA,02/07/1893,NA,NEW JERSEY,domestic,40.713278,-74.00847399999999
THE NATCHAUG SILK COMPANY,ACTIVE,10012,NA,02/07/1893,NA,CONNECTICUT,domestic,40.7234333,-73.9980513
HANKS DENTAL ASSOCIATION,ACTIVE,10014,NA,02/01/1893,NA,NEW JERSEY,domestic,40.72717799999999,-74.00340369999999
CHICAGO RUBBER WORKS,ACTIVE,10038,NA,02/09/1893,NA,ILLINOIS,domestic,40.7114547,-74.0079009
THE BURDICK PRINTING COMPANY,ACTIVE,10003,NA,02/09/1893,NA,NEW JERSEY,domestic,40.7354985,-73.98939539999999
LIBERTY SILK COMPANY,ACTIVE,10019,NA,02/09/1893,NA,NEW JERSEY,domestic,40.7699477,-73.9905747
THE HOOVENS OWENS AND REUTSCHLER COMPANY,ACTIVE,10007,NA,02/10/1893,NA,OHIO,domestic,40.7101278,-74.01059
NORTH GERMAN LLOYD STEAMSHIP COMPANY,ACTIVE,10004,NA,02/10/1893,NA,GERMANY,international,40.7030798,-74.01342799999999
HERO ELECTRIC COMPANY,ACTIVE,10007,NA,02/11/1893,NA,NEW JERSEY,domestic,40.7103735,-74.01112350000001
THOMAS KANE & CO.,ACTIVE,10038,NA,02/11/1893,NA,ILLINOIS,domestic,40.7108128,-74.0091539
BROWN COTTON GIN COMPANY,ACTIVE,10007,NA,02/01/1893,NA,CONNECTICUT,domestic,40.7103735,-74.01112350000001
THE FOWLER ELECTRICAL SUPPLY COMPANY,ACTIVE,10007,NA,02/15/1922,NA,OHIO,domestic,40.7107327,-74.0109679
THE LEITNER CLOAK COMPANY,ACTIVE,10001,NA,02/15/1922,NA,OHIO,domestic,40.74876,-73.9903439
O. R. MORSE CO. INC.,ACTIVE,10005,NA,02/15/1922,NA,ILLINOIS,domestic,40.7041275,-74.0087767
GILLEN LABORATORIES CORPORATION,ACTIVE,10005,NA,02/16/1922,NA,DELAWARE,domestic,40.7057533,-74.00998369999999
THE MC MYLER-INTERSTATE COMPANY,ACTIVE,10007,NA,02/16/1922,NA,,domestic,40.7113424,-74.0105774
GROSSMAN TRUNK AND BAG COMPANY,ACTIVE,10038,NA,02/08/1922,NA,PENNSYLVANIA,domestic,40.7093625,-74.00998369999999
LOYD WIRELESS TELEPHONE CORPORATION,ACTIVE,10010,NA,02/20/1922,NA,DELAWARE,domestic,40.7427995,-73.99289259999999
ALTEK PHOTOGRAPHIC CORPORATION,ACTIVE,10006,NA,02/21/1922,NA,DELAWARE,domestic,40.7080331,-74.0130887
INTERSTATE MORTGAGE CORPORATION,ACTIVE,10107,NA,02/23/1922,NA,DELAWARE,domestic,40.7662723,-73.9823998
EUREKA FINANCE & FUNDING CO. INC.,ACTIVE,11238,NA,02/23/1922,NA,DELAWARE,domestic,40.6834417,-73.9689128
BOND FOUNDRY AND MACHINE COMPANY,ACTIVE,10013,NA,02/23/1922,NA,,domestic,40.7203454,-73.9988
PIERMONT NAVIGATION CORPORATION,ACTIVE,10006,NA,02/11/1922,NA,DELAWARE,domestic,40.7095523,-74.0109418
CLASSICAL SERVICE CORPORATION,ACTIVE,10018,NA,03/02/1922,NA,NEW JERSEY,domestic,40.7529687,-73.98702279999999
LION-JACOBSON COMPANY INC.,ACTIVE,10010,NA,03/02/1922,NA,NEW JERSEY,domestic,40.7401618,-73.98239989999999
QUALITY FUR DRESSING CO. INC.,ACTIVE,10001,NA,03/04/1922,NA,NEW JERSEY,domestic,40.7482581,-73.9925951
EMPIRE BOND & MORTGAGE CORPORATION,ACTIVE,10036,NA,02/27/1922,NA,DELAWARE,domestic,40.7547152,-73.9804092
H. AND H. FOUNDRY & MACHINE COMPANY INC.,ACTIVE,10007,NA,03/07/1922,NA,DELAWARE,domestic,40.7151267,-74.00581420000002
CRESTON FEATURE PICTURES INC.,ACTIVE,10036,NA,03/08/1922,NA,DELAWARE,domestic,40.7568518,-73.98488139999999
AMERICAN WOODS EXPORT CORPORATION,ACTIVE,10007,NA,03/10/1922,NA,,domestic,40.7136487,-74.0087126
INTERSTATE STORE FIXTURES CO.,ACTIVE,10006,NA,03/13/1922,NA,NEW JERSEY,domestic,40.7095523,-74.0109418
NEW YORK COAL TAR PRODUCTS & CHEMICAL CO. INCORPORATED,ACTIVE,10036,NA,03/13/1922,NA,DELAWARE,domestic,40.7602619,-73.9932872
NEW YORK TIDEWATER GRAVEL CORPORATION,ACTIVE,10006,NA,03/13/1922,NA,DELAWARE,domestic,40.7080331,-74.0130887
THE EASTERN SHIPPING COMMPANY INC.,ACTIVE,10010,NA,02/28/1922,NA,DELAWARE,domestic,40.741859,-73.9854086
FORD BACON & DAVIS INCORPORATED,INACTIVE,10011,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,02/28/1922,06/25/2003,NEW JERSEY,domestic,40.7409573,-74.0021187
AMERICAN RELEASING CORPORATION,ACTIVE,10036,NA,03/20/1922,NA,DELAWARE,domestic,40.755327,-73.98072499999999
KUHLMANN-BORCHERT INC.,ACTIVE,10001,NA,03/20/1922,NA,NEW JERSEY,domestic,40.7495102,-73.9870698
THE ALADDIN COMPANY,ACTIVE,10001,NA,03/14/1922,NA,MICHIGAN,domestic,40.7495102,-73.9870698
KINGSON HAT MANUFACTURING COMPANY,ACTIVE,10012,NA,03/25/1922,NA,NEW JERSEY,domestic,40.7288797,-73.9952998
OLYMPIC PINE LUMBER COMPANY INC.,ACTIVE,10004,NA,03/27/1922,NA,NEW JERSEY,domestic,40.7051613,-74.0159706
BABE RUTH HOME RUN CONFECTION CORPORATION,ACTIVE,10038,NA,03/29/1922,NA,DELAWARE,domestic,40.7088758,-74.0066886
THE JACQUES SPORTING GOODS COMPANY,ACTIVE,11222,NA,03/31/1922,NA,CONNECTICUT,domestic,40.73640959999999,-73.9550469
OKLAHOMA DRILLING & PRODUCTION CO. INC.,ACTIVE,10007,NA,03/14/1922,NA,DELAWARE,domestic,40.715496,-74.00959399999999
EAST COAST PURCHASING & SALES CO. INC.,ACTIVE,10038,NA,03/16/1922,NA,NEW JERSEY,domestic,40.7109854,-74.0065454
THE H. C. COOK COMPANY,ACTIVE,10013,NA,03/16/1922,NA,CONNECTICUT,domestic,40.7178239,-74.0012835
LONG ISLAND NAVIGATION CO. INC.,ACTIVE,10001,NA,04/07/1922,NA,DELAWARE,domestic,40.7458503,-73.98673289999999
THE TALBOT-ADAMS-WILCOX COMPANY,ACTIVE,11218,NA,04/07/1922,NA,DELAWARE,domestic,40.634085,-73.974983
IRISH-AMERICAN LINE INC.,ACTIVE,10004,NA,04/08/1922,NA,DELAWARE,domestic,40.7029006,-74.0114761
UNITED TRANSATLANTIC LINES INC.,ACTIVE,10004,NA,04/08/1922,NA,DELAWARE,domestic,40.7056605,-74.0117624
AMALGAMATED SERVICE CORPORATION,ACTIVE,10036,NA,04/10/1922,NA,DELAWARE,domestic,40.7547152,-73.9804092
THE LEVER MOTOR CO.,ACTIVE,10033,NA,04/10/1922,NA,DELAWARE,domestic,40.8479115,-73.9364044
G. W. MCELHINEY & CO.,ACTIVE,10004,NA,04/10/1922,NA,DELAWARE,domestic,40.7056605,-74.0117624
CONTINENTAL UNDERWRITERS CORPORATION,ACTIVE,10279,NA,04/11/1922,NA,NEW JERSEY,domestic,40.71248629999999,-74.00826579999999
WESTERN FORWARDING AND DISTRIBUTING COMPANY,ACTIVE,10004,NA,04/05/1922,NA,ILLINOIS,domestic,40.7038704,-74.0138541
COMMONWEALTH BOND CORPORATION,ACTIVE,10017,NA,04/12/1922,NA,DELAWARE,domestic,40.7523381,-73.9789555
THE LOCKSTONE CORPORATION,ACTIVE,10004,NA,04/12/1922,NA,DELAWARE,domestic,40.7051613,-74.0159706
M. LIVINGSTON STORES INC.,ACTIVE,10016,NA,04/13/1922,NA,DELAWARE,domestic,40.7474699,-73.9850289
FALCON PRODUCTS INCORPORATED,ACTIVE,10279,NA,04/14/1922,NA,DELAWARE,domestic,42.931309,-78.8387764
DRISCOLL TRANSMISSION CORPORATION,ACTIVE,10001,NA,04/15/1922,NA,DELAWARE,domestic,40.7530247,-73.9975453
MCKEOWN BROS. COMPANY,ACTIVE,10016,NA,04/19/1922,NA,ILLINOIS,domestic,40.7515635,-73.980289
DAYNIGHT ELECTRIC SIGN CORPORATION,ACTIVE,10036,NA,04/18/1922,NA,DELAWARE,domestic,40.7570555,-73.98149190000001
AMERICAN DAN BOTTLE SEAL CORPORATION,ACTIVE,10007,NA,04/27/1922,NA,DELAWARE,domestic,40.7107327,-74.0109679
RALEIGH SMOKELESS FUEL COMPANY,ACTIVE,10004,NA,04/27/1922,NA,WEST VIRGINIA,domestic,40.704977,-74.01084879999999
THE THOROBRED RUBBER TIRE COMPANY,ACTIVE,10019,NA,04/27/1922,NA,OHIO,domestic,40.7661954,-73.9815648
ARTA REALTY CORPORATION,ACTIVE,10016,NA,04/28/1922,NA,DELAWARE,domestic,40.74215700000001,-73.981912
COFFEE ROASTERS CORPORATION,ACTIVE,10038,NA,05/01/1922,NA,COSTA RICA,international,40.7094649,-74.0064883
NATIONAL CERTIFICATE CORPORATION,ACTIVE,10012,NA,05/01/1922,NA,DELAWARE,domestic,40.7256192,-73.996036
THE SHOE AND LEATHER MERCANTILE AGENCY INC.,ACTIVE,10013,NA,05/01/1922,NA,MASSACHUSETTS,domestic,40.7160378,-74.0071316
THE MORTAR SUPPLY COMPANY INC.,ACTIVE,10006,NA,05/08/1922,NA,,domestic,40.7090422,-74.0106759
THE MATHISON MOTOR SALES CO. INCORPORATED,ACTIVE,11225,NA,05/09/1922,NA,,domestic,40.6673931,-73.9562413
WIEDERHOLDT CONSTRUCTION COMPANY,ACTIVE,10007,NA,05/09/1922,NA,ILLINOIS,domestic,42.4156075,-73.67720249999999
SAVOY FINANCE CORPORATION,ACTIVE,10007,NA,05/10/1922,NA,DELAWARE,domestic,40.7151267,-74.00581420000002
GOODACRE WILLIAM & SONS INCORPORATED,ACTIVE,10005,NA,05/12/1922,NA,,domestic,40.7048231,-74.00891519999999
LIBERIAN EXPLORATION COMPANY INC.,ACTIVE,10007,NA,05/12/1922,NA,DELAWARE,domestic,40.7126175,-74.0075942
PENNSYLVANIA DRILLING COMPANY,ACTIVE,10004,NA,05/12/1922,NA,PENNSYLVANIA,domestic,40.7038704,-74.0138541
QUAKER CITY SWEATER MILLS,ACTIVE,10007,NA,05/12/1922,NA,PENNSYLVANIA,domestic,40.7160577,-74.0051415
ALTA SALES CORPORATION,ACTIVE,10007,NA,05/13/1922,NA,DELAWARE,domestic,40.7104936,-74.01006029999999
INDUSTRIAL MORTGAGE & CREDIT CORPORATION,ACTIVE,10006,NA,05/13/1922,NA,DELAWARE,domestic,40.7091825,-74.0105449
SPECTRO-CHROME INSTITUTE,ACTIVE,10016,NA,05/03/1922,NA,NEW JERSEY,domestic,40.74720019999999,-73.9831712
GENERAL COUPON CORPORATION,ACTIVE,10019,NA,05/15/1922,NA,DELAWARE,domestic,40.76280939999999,-73.982872
NORSE CROWN CANNING COMPANY,ACTIVE,10005,NA,05/15/1922,NA,DELAWARE,domestic,40.6998433,-74.0072436
POTENTIA CORPORATION OF AMERICA,ACTIVE,10279,NA,05/15/1922,NA,DELAWARE,domestic,40.71248629999999,-74.00826579999999
THE LEHIGH CORPORATION,ACTIVE,10036,NA,05/16/1922,NA,NEW JERSEY,domestic,40.7549127,-73.98168840000001
AMES PRODUCTS CO. INC.,ACTIVE,10007,NA,05/04/1922,NA,DELAWARE,domestic,40.7107327,-74.0109679
REXNORD INC.,INACTIVE,10019,TERMINATION,05/04/1922,09/26/1988,WISCONSIN,domestic,40.761923,-73.9843202
GROVES MILLS INCORPORATED,ACTIVE,10010,NA,05/23/1922,NA,,domestic,40.743701,-73.987386
KELSEY MOTOR COMPANY,ACTIVE,10007,NA,05/24/1922,NA,NEW JERSEY,domestic,40.7117077,-74.0086068
INTERBLOCK RESTAURANT CORPORATION,ACTIVE,10007,NA,05/26/1922,NA,DELAWARE,domestic,40.7103735,-74.01112350000001
FI-BESTOS COMPANY INC.,ACTIVE,10001,NA,06/01/1922,NA,DELAWARE,domestic,40.7500252,-73.987261
AMERICAN-EUROPEAN FINANCE CORPORATION,ACTIVE,10006,NA,06/05/1922,NA,DELAWARE,domestic,40.7096155,-74.012553
HARRIMAN RADIO MANUFACTURING CORPORATION,ACTIVE,10036,NA,06/05/1922,NA,DELAWARE,domestic,40.7554294,-73.9814944
STANDARD MATCH CORPORATION,ACTIVE,10007,NA,06/05/1922,NA,DELAWARE,domestic,40.71442,-74.00640159999999
THE SELFSEALING AUTO TUBE CORPORATION,ACTIVE,10006,NA,05/19/1922,NA,DELAWARE,domestic,40.7090422,-74.0106759
MID-CONTINENT LAND & DEVELOPMENT COMPANY INC.,ACTIVE,10010,NA,06/13/1922,NA,LOUISIANA,domestic,40.7388319,-73.98153370000001
POWER GENERATING CORPORATION,ACTIVE,10036,NA,06/13/1922,NA,DELAWARE,domestic,40.7544368,-73.9821542
